fpid,doi,impact_matrix,factor1_title,factor1_direction,factor2_title,factor2_direction,factor3_title,factor3_direction,factor4_title,factor4_direction,factor5_title,factor5_direction,factor6_title,factor6_direction,factor7_title,factor7_direction,factor8_title,factor8_direction
Agroforestry practices and systems,10.1111/gcb.17036,Carbon sequestration,Climate zone,"Climate zone notably affected AFS impacts on BIAD, with tropical climates showing the highest enhancement (RR = 0.43, p < .015).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1111/gcb.17036,Crop yield,Climate zone,"Climate zone notably affected AFS impacts on BIAD, with tropical climates showing the highest enhancement (RR = 0.43, p < .015).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1111/gcb.17036,Grassland production,Climate zone,"Climate zone notably affected AFS impacts on BIAD, with tropical climates showing the highest enhancement (RR = 0.43, p < .015).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1111/gcb.17036,Soil biological quality,Climate zone,"Climate zone notably affected AFS impacts on BIAD, with tropical climates showing the highest enhancement (RR = 0.43, p < .015).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1111/gcb.17036,Soil erosion,Climate zone,"Climate zone notably affected AFS impacts on BIAD, with tropical climates showing the highest enhancement (RR = 0.43, p < .015).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1111/gcb.17036,Soil nutrients,Climate zone,"Climate zone notably affected AFS impacts on BIAD, with tropical climates showing the highest enhancement (RR = 0.43, p < .015).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1111/gcbb.12194,Carbon sequestration,Biochar labile-C content,Low‐C content PyOM induce positive priming on the short term (Fig. S1). Several studies show that PyOM characterized by a low C content contains a larger labile fraction.,Time scale,"Most of the highest positive effect occurred within the first 20 days and with a low PyOM‐C content, while most of the negative priming occurred on a longer time scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1111/gcbb.12265,Carbon sequestration,Land use type,The largest increases in SOC content in biochar‐amended treatments were found in rice paddies (mean: 68%; CI: 75% to 128%).,Experimental conditions,"Among the laboratory incubation, greenhouse pot, and field studies, pot studies showed the greatest increases in SOC response to biochar amendment.",Soil pH,"The smallest and greatest effects of biochar on SOC were found in acid soils (mean: 25%; CI: 18% to 23%) and alkaline soils (mean: 53%; CI: 32% to 96%), respectively.",Biochar application rate,"The significant positive response of SOC increased with biochar application rate, ranging from 23% (CI: 17% to 30%) to 59% (CI: 37% to 80%).",Biochar feedstock,"Among all biochar feedstock sources, wood source had the largest enhancement of SOC content (mean: 48%; CI: 32% to 51%). MBC was significantly increased by biochar with a crop residue source (mean: 48%; CI: 32% to 51%).",NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1111/gcbb.12265,Soil biological quality,Land use type,NA,Experimental conditions,"Field studies showed significant positive responses of MBC to biochar amendment, while soil MBC content was decreased by biochar amendment in incubation and pot studies",Soil texture,"Biochar amendment significantly increased MBC content in soils with coarse texture, while biochar effects on MBC were not significant in soils with medium and fine textures.",Soil pH,"Biochar amendment had no effect on MBC in neutral or alkaline soils, while it significantly increased soil MBC content by 49% in acid soils (CI: 42% to 85%).",Fertilisation practice,"The response of MBC to biochar amendment was not pronounced in N‐unfertilized soils, while biochar amendment significantly increased MBC by 42% (CI: 26% to 58%) when N fertilizer was applied. The greatest positive combined effects on MBC were found when biochar amendment was coupled with waste compost N fertilizer.",Vegetation presence,MBC response to biochar amendment differed from a 10% decrease (CI: −21% to −6%) in soils without vegetation to a 45% increase (CI: 24% to 76%) in soils with vegetation present.,Biochar application rate,"Soil MBC content was significantly increased by 50% (CI: 34% to 65%) when biochar was applied at lower rates (<20 t ha−1), while biochar amended at relatively higher rate (20−40 t ha−1) led to an 8% decrease in MBC content (CI: −16% to −1%).",Biochar feedstock,Biochar with a wood source led to a decrease in MBC content (mean: −8%; CI: −13% to −3%).
Soil amendment with biochar,10.1111/gcbb.12266,Carbon sequestration,Time scale,"Approximately half of the studies shorter than 0.5 year showed a significantly negative priming effect (−8.6%) following biochar addition, whereas no significant effect was found in studies longer than 0.5 year.",Bioachar feedstock,The crop‐derived biochar addition induced the highest negative priming (−20.3%) compared to other feedstocks.,Biochar pyrolysis temperature,Biochar produced either by fast pyrolysis or at the lowest pyrolysis temperature (200–375 °C) induced significant negative priming compared to other groups for each categorical variable.,Biochar application rate,Small application amount (0.1–1%) induced significant negative priming compared to other groups for each categorical variable.,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1111/gcbb.12507,Crop yield,Organic fertiliser type,"Wastewater irrigation produced a 61% increase in yield. While this was the greatest yield increase out of all sources, the top four categories had overlapping confidence intervals. Animal manures, however, had a yield response of only 22%, which was significantly lower than sludge or wastewater irrigation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1111/gcbb.12631,Carbon sequestration,Proportion of residues retained,"Holding other parameters constant, removing 50%–75% stover can further reduce SOC by about 3% when compared to moderate removal. This 3% reduction found by meta-regression was less than half the 7% difference identified in subgroup meta-analysis, due to normalization across site variables (i.e., variations caused by soil properties, tillage, and SOC stock calculation methods). These results indicated that limiting stover removal to a low level (e.g., 30%–40%) could minimize the adverse impacts of stover removal on SOC, as is currently the recommended practice.",Soil organic carbon,"Holding other parameters constant, a positive coefficient suggested a smaller difference in end SOC stock between removal and non-removal treatments. These results indicated that stover removal had a smaller impact on plots with higher SOC content, if other conditions were equivalent. Note that the SOC stock variable refers to the final SOC stock rather than the initial SOC stock, because approximately half of the studies did not report initial SOC values.",SOC reporting method,"In case of residues removal, the equivalent soil mass estimated SOC losses were about 7% less than the fixed-depth measurements.",Intercropping,"In case of residues removal, reductions in SOC stock were 7.5% smaller for plots with corn–soybean rotations than continuous corn.",Duration of treatment,"Negative coefficients for duration (years) suggested that differences in SOC stock between removal and non-removal sites increased with study duration. Differences in SOC stock tend to be larger for longer term studies than short-term studies because changes in SOC stock due to stover removal may accumulate over years. Overall, the magnitudes of differences in annualized SOC change rates were larger for short-term (<5 years) than longer term studies. On average, differences in annualized SOC change rates tended to be negative (mean = −0.63 Mg C ha−1 year−1, SD = 1.63) for short-term studies, but differences in annualized SOC change rates approached zero for longer term (>10 years) studies (mean = −0.08 Mg C ha−1 year−1, SD = 0.94). Even though annualized SOC change tended to decrease with time, accumulated differences in SOC stock were larger for longer term studies, as indicated by meta-regression analysis.",Sampling depth,"Negative coefficients for SOC sampling depth suggested that differences in SOC stock between removal and non-removal sites increased with  sampling depth. Compared to studies focusing on the 0–15 cm profile, reductions in final SOC stock were 4.2% or 9.7% larger on average, in the 0–30 and 0–150 cm profile, respectively. While subgroup analysis suggested that stover removal only affects SOC stock in the 0–30 cm profile, meta-regression results suggested that stover removal influenced SOC stock beyond the 0–30 cm profile.",NA,NA,NA,NA
Soil amendment with biochar,10.1111/gcbb.12720,Crop yield,Crop type,"Biochar amendment significantly increased TB, SB, RB, and CY by 39.2%, 36.4%, 48.1%, and 21%, respectively in the C3 plants, which were significantly higher than those of the C4 plants.",Soil texture,"Biochar amendment significantly increased plant biomass in soils with medium and fine texture, but no changes were observed in soils with coarse texture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1111/gcbb.12720,Water use,Crop type,"Biochar amendment led to increases of 30.6% in WUE for C3 plants, while no significant effects were found for C4 plants.",Biochar C/N,WUE significantly decreased with biochar C/N.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1111/gcbb.12773,Soil biological quality,Biochar application rate,MBC increase by 0.04 (p = .03) with biochar load.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland management,10.1111/geb.12856,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1111/geb.13028,Carbon sequestration,Mean annual temperature,"Grazing significantly increased soil C when MAT is < 0, while it significantly decreased soil C with MAT 0-5 °C and >5 °C.",Mean annual precipitation,"Grazing significantly increased soil C when MAP is 400-800 mm and >800 mm, while it significantly decreased soil C with MAP <400 mm.",Altitude,"Grazing significantly increased soil C when altitude is >1500 m , while it significantly decreased soil C with altitude 1500-3000 m and >3000 m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1111/geb.13028,Soil biological quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1111/geb.13028,Soil nutrients,Mean annual temperature,"Grazing increased soil P whith MAT <0 and 0-5 °C, while it has no effect with MAT > 5°C.",Mean annual precipitation,"Grazing significantly increased soil P when MAP is <400 mm and 400-800 mm, while it has no effect with MAP >800 mm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1111/geb.13091,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1111/geb.13145,Carbon sequestration,tree age,NA,tree species richness,NA,tree density,NA,previous land-use type,NA,soil depth,NA,Climate zone,NA,NA,NA,NA,NA
Grassland management,10.1111/geb.13196,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland management,10.1111/geb.13196,Grassland production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1111/icad.12454,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1111/icad.12454,Pollination,Field edge management,Arboreal field margins had no effect on biodiversity at the edge of the crop.,Field edge vegetation type,Shrubs field margins had no effect on biodiversity at the edge of the crop.,Pollinator species,The impact of field margins was higher for hoverflies than for wildbees.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enhanced efficiency fertilisers,10.1111/j.1365-2486.2009.02031.x,Air pollutants emissions,NI type,"Nitrapyrin being the most efficient. Among NI forms, both DCD and DMPP reduce NO emissions from agricultural soils.",Baseline emission,Stronger effect when relatively high mean N2O emissions of a land use.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland management; Enhanced efficiency fertilisers,10.1111/j.1365-2486.2009.02031.x,GHG emissions,UI type,No effect for NBPT,Land use,No effect for upland fields,Soil type,No effect of Andosol upland fields,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland conservation and restoration,10.1111/j.1365-2486.2012.02653.x,Soil nutrients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1111/j.1365-2486.2012.02779.x,Crop yield,Climate,The yield decline with NT/RT was significantly greater in dry climates (11%) than that in humid climates (3%),Climate*experiment duration,"In humid climates, the decline in yield was only significant for long-term NT/RT implementation (6%), whereas in dry climates the decline was only significant for short-term implementation (12%)",N-fertilization placement,"For studies with deep fertilizer-N placement, NT/RT resulted in a yield decline of 10% compared to CT, while tillage had no significant effect on yield for studies with shallow N placement.",N-fertilization placement*climate,"In humid climates, the yield decline with NT/RT was limited to studies with deep N placement, whereas in dry climates, a significant yield decline with NT/RT was observed for both fertilizer placement categories.",NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1111/j.1365-2664.2005.01005.x,Biodiversity,Landscape structure and heterogeneity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1111/j.1365-2745.2010.01658.x,Soil biological quality,Treatment type,"Real herbivory of shoots led to the greatest reduction in mycorrhizal colonization (13 percentage points). Real or simulated herbivory of leaves reduced colonization by about 5 percentage points, and simulated herbivory of shoots tended to enhance colonization.",Plant type,"Annual crops suffered the greatest inhibition of mycorrhizal colonization after herbivory (13 percentage points), followed by deciduous trees with a reduction of about 8 percentage points. Perennial grasses showed a reduction of colonization of almost 4 percentage points. Herbivory had no effect on colonization of evergreen trees and increased colonization in mixes of perennial grasses and forbs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wetland management,10.1111/j.1461-0248.2009.01351.x,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features; Agroforestry practices and systems,10.1111/j.1461-0248.2011.01642.x,Pests and diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland conservation and restoration,10.1111/j.1466-8238.2008.00399.x,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland management,10.1111/j.1466-8238.2011.00652.x,Biodiversity,N application rate,"The response ratio of species richness showed signiﬁcant negative correlation with cumulative N dose, reducing study-level residual variance by 81%.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland management,10.1111/j.1466-8238.2011.00652.x,Grassland production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop rotation,10.1111/j.1469-8137.2005.01490.x,Soil biological quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fallowing,10.1111/j.1523-1739.2004.00359.x,Biodiversity,Fallow area,"Large parcels of land were especially beneficial for some indicators of biodiversity. Effect sizes for bird species richness increased significantly with the surface area of the set-aside land. As well, a 10-fold increase in area was associated with an increase of 0.4 SD units for bird density.",Fallow length,Effects on density of plants increased strongly with age.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1111/j.1523-1739.2009.01350.x,Biodiversity,bird species,Habitat heterogeneity,Habitat heterogeneity  could provide shelter and feeding resources for generalist species and increase species number.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1111/j.1752-4598.2010.00098.x,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1111/jpn.13341,Animal production,Source of additive,The source of tannin (naturally contained in feed or extracts added to diet) significantly affected milk yield (p < .01). Feed naturally containing tannins improved milk production compared with tannin extracts added to the diet (+4%).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1111/jpn.13341,Nutrient excretion,Dose,Increasing tannin doses significantly increased Faecal N excretion (p < .001) in both absolute and relative values.,Form in the diet,Condensed tannins causing more faecal excretion than hydrolysable tannins (+15%).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1111/jpn.13367,Animal production,Source of additive,"In the in vitro studies, coconut oil (CO), lauric acid (LA) and krabok oil (KO) decreased the degradability of DM (23%–33%), while CO, LA and palm kernel oil (PKO) decreased the degradability of NDF (29%–51%) compared with the control (p < .01). In the in vivo experiments, the addition of CO and LA decreased the daily DM intake of the animals by 14%–15% (p = .01), but there was no significant effect on apparent nutrient digestibility by MCFA treatments, except for a slight decrease in digested DM (4%).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1111/jpn.13367,GHG emissions,Type of experiment,"Coconut oil and myristic acif effectively suppress CH4 production in in vivo experiments by as much as 21% and 38%, respectively, but that lauric acid diets were less effective in decreasing ruminal CH4 emission. However, in vitro CH4 emission was decreased by up to 42% by dietary lauric acid, and dietary mixed lauric and myristic acid, coconut oil and palm kernel oil were also effective in suppressing CH4.",Source of additive,"Among the sources of MCFA, suppression of CH4 production was noted in the following order: coconut oil > lauric acid > myristic acid > mixed lauric and myristic acids > palm kernel oil > canola oil enriched with lauric acids > krabok oil.",Dose,Greater concentrations of dietary MCFA resulted in the reduction of ruminal fer-mentation products and digestibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1111/jpn.13853,Animal production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1111/jpn.13853,Nutrient excretion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1111/oik.01416,Pests and diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1111/oik.04893,Biodiversity,Climate,"There were more extreme negative eﬀects of high versus moderate stocking rate in drier, less productive ecosystems than in more humid and productive ones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wetland conservation and restoration,10.1111/rec.12435,Biodiversity,Taxonomic group,"The 95% confidence interval of the effect size values for fish biodiversity was (0.13, 0.47), and the effect size was there-fore significantly greater than zero (p< 0.05), which suggests that environmental flow releases could maintain or increase fish biodiversity, despite the potential ecological risk of invasion by alien species caused by the use of water resources obtained from outside the original ecosystem. In contrast, the 95% confidence interval of the effect size values for plankton was (−0.28, 0.94), and this ES did not differ significantly from 0 (p> 0.05). Thus, environmental flow releases may not clearly benefit plankton biodiversity.",Wetland type,"Biodiversity responses were positive only in river wetlands, and were negative in coastal, lake, and marsh wetlands.",Environmental flow regime,Seasonal minimum flow releases could maintain biodiversity.,Duration of treatment,Long-term environmental flow releases (years to decades) maintained biodiversity.,Change in water flow,Values of a change-in-flow parameter (D) ranging from 0 to 10% improved biodiversity.,NA,NA,NA,NA,NA,NA
Wetland conservation and restoration,10.1111/rec.12435,Soil erosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wetland conservation and restoration,10.1111/rec.12435,Water quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pesticides reduction strategies,10.1126/science.1139208,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manure processing techniques; Manure storage techniques,10.1139/cjas-2015-0111,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leguminous crops,10.1139/cjps-2021-0177,Crop yield,Type of cover and cash crop species,Impact of CCs depended on the type of cash crop and the type of cover crop species (see results),Management system of cover crops,"For Maize, LEG in successive CC system resulted in a 31% increase in Maize yield, which was nearly two times greater than the increase measured in the intercropping system. Similarly, MIX significantly increased Maize yield in successive systems (by 29%), but had no effect in the intercropping systems, although there were nearly six less observations available for intercropped than successive MIX. While GRASS decreased Maize yield by 13% in intercropping systems, this negative effect was only detected as a trend in successive systems (2% yield decrease; p = 0.0688), although eight times more observations were available for successive than intercropped GRASS. NLB did not influence Maize yield in either intercropping (n = 8) or successive systems (n = 97).",Timing of cover crop termination,"For Maize, the effect of CC type on Maize yield also differed depending on termination timing. While the positive effect of LEG and the negative to neutral effect of GRASS was consistent regardless of when the CCs were terminated (spring or fall), MIX and NLB were found to be more beneficial to Maize yield when terminated in spring (promoting a 21% and 17% yield increase, respectively). No significant yield response was indeed observed when MIX or NLB were terminated in the fall (although only four observations corresponded to spring fall terminated NLB given that NLB do generally not overwinter).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland management,10.1186/2047-2382-1-9,Biodiversity,Date of the early cut,"A significant negative influence of the date of the early cut (control) was established (slope = −0.015 with 95% CI −0.025 – −0.005, z= −2.878, P= 0.004). This means that the earlier the cut in the year, the more pronounced the effect on biodiversity of delaying the first cut. On the other hand, when the early cut occurred late in the season (July to August), delaying it had no, or even a negative, effect on plant species richness. Plant species richness reacted differently according to the way mowing was postponed. Delaying mowing from spring to summer had a positive effect, while delaying either from spring to fall, or from early summer to late summer, or from summer to fall had a negative effect.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1186/2047-2382-2-6,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1186/2047-2382-2-6,Grassland production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peatland conservation and restoration; Peatland management,10.1186/2047-2382-3-5,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1186/s12862-021-01911-9,Biodiversity,study design quality,NA,taxonomic group studied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features; Wetland conservation and restoration,10.1186/s13750-016-0060-0,Water quality,Temperature,Higher removal efficiency of Tpand TN when temperature increases.,Hydraulic loading rate,Positive correlation between removal efficiency of TP in wetlands and hydraulic loading rate but lower removal efficiency of TN in wetlands when hydraulic loading rate increases.,Wetland area,The TP and removal rates were negatively correlated with wetland area.,Inflow concentration,"TP removal rate was positively correlated with phosphorus concentration at inlet; as well, TN removal rate was found to be positively correlated with the inflow nitrogen concentration.",Hydraulic loading,TN removal rate was positively correlated with hydraulic loading.,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1186/s13750-017-0108-9,Carbon sequestration,Soil depth,Stronger positive effect at the top soil layer.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manure processing techniques,10.1186/s13750-020-00211-x,Nutrients recovery,pH,"The response to pH was found to be non-linear, with a maximum average removal found to be around pH 9.5.",Mg:PO4 ratio,"The response in removal efficiency to Mg:PO4 ratio was found to be almost linear, with an average of around 85% removal at 1:1 ratio, increasing to approach almost complete removal at 4:1 ratio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manure processing techniques,10.1186/s13750-020-0187-x,Anti-microbial resistance,Temperature,"For composting and aerobic treatments, the maximum temperature ranged between 34 and 86 °C and its effect on the reduction of ARG/MGE relative abundance was not significant (p = 0.54).  For anaerobic digestion, the maximum temperature (mostly fixed during treatment) ranged between 10 and 63 °C and its effect was significant (p = 0.012).",Type of manure,The composting was significantly efficient for chicken and pig manure as well as for other manure mixtures. Variability observed for cow manure could be caused by the presence of co-substrates like wheat straw in variable proportions because a highest straw proportion may lead to manure dilution and so a lower initial ARG/MGE abundance level.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.1186/s40104-018-0305-6,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.13031/2013.41918,GHG emissions,Mean annual temperature,CH4 emissions showed an increasing trend with increasing annual average temperature.,Annual precipitation,CH4 emissions showed a deceasing trend with increasing annual precipitation.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.13031/aim.202001437,Air pollutants emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock feeding techniques,10.13031/aim.202001437,Odour emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wetland conservation and restoration,10.1371/journal.pone.0093507,Biodiversity,Taxonomic group,"Restoration significantly enhanced the diversity of vertebrates (+53%), vascular plants (+45%), and terrestrial (+17%) and aquatic (+15%) invertebrates, but it had no significant effect on macroinvertebrate diversity. Restored and natural wetlands showed similar diversity of vascular plants, aquatic invertebrates, macroinvertebrates and protists. In contrast, these two types of wetlands differed significantly in the diversity of non-native vascular plants, which was 44% lower in restored wetlands, and in vertebrate diversity, which was 37% higher in restored wetlands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wetland conservation and restoration,10.1371/journal.pone.0093507,Pests and diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pesticides reduction strategies,10.1371/journal.pone.0111629,Crop yield,Type of country,Yield gains of GM crops are 14 percentage points higher in developing countries than in developed countries.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pesticides reduction strategies,10.1371/journal.pone.0111629,Pesticide use,Crop type,"Only insect resistant crops cause a consistent reduction in pesticide quantity, not herbicide tolerant crops.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop rotation; Leguminous crops,10.1371/journal.pone.0148527,Global warming potential (LCA),Duration of experiment,"Changes in GWP and GHGI due to crop rotation vs. monocrop, corn-soybean vs. continuous corn, and perennial vs. annual crop decreased with increased duration of experiment.; Changes in GWP and GHGI due to crop rotation vs. monocrop, Maize-soybean vs. continuous Maize, and perennial vs. annual crop decreased with increased duration of experiment.",Soil texture,Coarse texture soil can reduce GWP when crop rotation instead of monocropping were used.,Climate,Mean air temperature can increase GWP difference between crop rotation and monocropping.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1371/journal.pone.0196703,GHG emissions,Percentage of basal N fertilizer,"High PBN (> 50%) with NT and low PBN (< 50%) with RT benefited the GHG mitigation in upland fields. In paddy fields, NT significantly mitigated the overall GWP by 22.4% when PBN < 50%; whereas increased the overall GWP by 14.9% when PBN = 50%.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pesticides reduction strategies,10.1371/journal.pone.0200131,Crop yield,Variety,Bollgard II and TwinLink had a higher yield than WideStrike. WideStrike 3 had a higher yield than Bollgard II and than TwinLink.,Time after plantation,The effect decreased from 2010.,Region/geographic area,Yield increase of Bollgard was greater in the Southeast than in the Midsouth.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pesticides reduction strategies,10.1371/journal.pone.0200131,Pesticide use,Variety,The impact of Bt crops on the number of insecticide intervention was higher when using Bollgard II compared to Bollgard or WideStrike cultivars.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pesticides reduction strategies,10.1371/journal.pone.0200131,Pests and diseases,Interaction of time after plantation and region,The impact of Bt crops on pest abundance decreased as time progressed in Midsouth. It decreases but increased again after 2010 in the Southeast.,Cultivar,Bollgard II was more efficient than WideStrike and Twin-Link in reducing pest abundance.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
