"fpid","doi","population","intervention","intervention_matrix","control","control_matrix","metric","metric_positive_effect","effect_size","impact_matrix","impact_positive_effect","positive","negative","no_effect","uncertain","results_level","results_qtype","results_statistics","results_1","results_2","results_3","results_nb_of_trials","results_nb_of_papers","results_threshold","i_c_shift","metric_std2","metric_unit","sustainability_outcome","f_pclass_tier0","policy_class_codes","policy_class_names","scale","population_name1","population_value1","population_name2","population_value2","population_name3","population_value3","population_name4","population_value4","population_name5","population_value5","population_name6","population_value6"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",1,0,0,0,"Subgroup-19","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","0.217","-0.89","1.95","221",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",1,0,0,0,"Subgroup-19","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","0.39600000000000002","-0.83","2.5299999999999998","275",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",1,0,0,0,"Subgroup-19","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","0.79400000000000004","-0.54","1.6","75",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",0,1,0,0,"Subgroup-2","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","-5.1999999999999998E-2","-0.71","0.52","207",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",1,0,0,0,"Subgroup-2","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","0.14299999999999999","-0.97","1.42","221",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",1,0,0,0,"Subgroup-2","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","0.44500000000000001","-1.04","2.33","385",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",1,0,0,0,"Subgroup-2","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","0.68100000000000005","-0.13","7.99","34",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",0,0,1,0,"Subgroup-20","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","0","-1","1.32","325",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",0,1,0,0,"Subgroup-20","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","-0.023","-0.9","0.96","326",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",1,0,0,0,"Subgroup-20","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","0.34599999999999997","-0.99","2.21","384",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",0,1,0,0,"Subgroup-20","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","-0.444","-0.62","-0.32","4",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",0,1,0,0,"Subgroup-21","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","-1.7000000000000001E-2","-0.89","1.19","168",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",1,0,0,0,"Subgroup-21","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","6.2E-2","-0.99","1.77","370",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
"Agroforestry practices and systems","10.3389/fsufs.2023.1167686","Agroforestry on maize grain yield","agrisilviculture with maize certain degree of regularity in the planting pattern, performed in growth experiments under field conditions","Silvoarable systems","maize monoculture","Land use without trees","Maize grain yield","increase","Ratio of the considered metrics between intervention and control","Crop yield","increase",0,1,0,0,"Subgroup-21","Difference of the considered metrics between intervention and control","median; 1st quartile; 3rd quartile","-0.16300000000000001","-0.33","-0.1","9",NA,"0",NA,"Crop yield (arable crops)","t /ha","Agricultural production","Landscape features management","L32X","Silvicultural systems (L32X)","Global","geographical coverage","Global","agroforestry type","Alley cropping on (near-)level fields, allex cropping on slopes, single row","Pedo-climatic zone","temperate, tropical and aridity (Hyper Arid (<0.03), Arid (0.03–0.2), Semi-Arid (0.2–0.5), Dry sub-humid (0.5–0.65), Humid (>0.65))","practice","tree density in number of woody perennials ha−1 (categorical <5000, 5000-10000, 10000-20000, >20000), tree height (<2, 2-5, 5-10, >10 m), pruning hieght (<0.5, 0.5-1, 1-2, >2 m), N-fixing tree species (yes, no), tree type (Broadleaf, coniferous, mixed), tree age (≤1a, 2-5a, 6-10a, 11-15a, >15a), Tree pruning (yes, no), Pruning frequency (1, 2, 3, 4, >=5 times per Maize season), Use of prunings as manure (yes, no, Yes in treatment and control plot), pruning type (mulching, incorporation, both), Intermediate crop (yes, no), N-fixing intermediate crop (yes, no), pest control (Chemical, None), weed control (Mechanical, Chemical, Both, None)","pedology
","Soil organic carbon content (<5, 5-10, 10-20, 20-30, >30 g kg -1), soil N content (<0.5, 0.5-1, 1-5, >5 g kg -1), Extractable phosphorus [mg kg-1] (<5, 5-15, 15-30, >30 mg kg-1), soil texture (clay, loam, sand, silt), soil pH (<5, 5-6, 6-7, >7), Plant available water holding capacity (<10, 10-15, >15)","experiment-metric","treatment duration (≤2, 3-5, 6-10, 11-15, >15 vegetation periods)"
