"sustainability_outcome","impact_matrix","impact_positive_effect","metric_std2","metric","metric_positive_effect","metric_unit","doi","fpid"
"Sustainable use of resources","Nutrient excretion","Decrease","Nitrogen excretion","Nitrogen in urine (g/kg BW)","decrease","N urinary g /kg BW0.75","10.17221/124/2022-cjas","Livestock feeding techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Nitrogen excretion","Nitrogen in faces (g/kg BW)","decrease","N fecal g /kg BW0.75","10.17221/124/2022-cjas","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Crude protein intake","increase","Crude protein intake kg /day","10.3390/ani11113317","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Weight gain","Carcass gain","increase","Carcass gain kg /day","10.5713/ab.22.0258","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 (L/DMI)","decrease","CH4 L /kg DMI","10.1111/asj.13765","Livestock feeding techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Nitrogen excretion","Urine N output: Fecal N output","decrease","N urinary g /g N fecal","10.1016/j.jclepro.2021.128130","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4/metabolic body weight","decrease","CH4 L /kg BW0.75","10.3390/ani11113317","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Neutral detergent fibre intake (NDFI)","increase","Neutral detergent fibre intake (NDFI) (kg/day)","10.3390/ani11113317","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 (L/kg BW0.75)","decrease","CH4 L /kg BW0.75","10.1111/asj.13765","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Average daily intake","increase","DMI g /day /head","10.17221/124/2022-cjas","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 emission/GEI","decrease","CH4 % of gross energy intake (GEI)","10.5398/tasj.2023.46.1.74","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Organic matter intake (OMI)","increase","OMI Organic matter intake kg /day","10.3390/ani11113317","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Dry matter Intake","increase","DMI kg /day","10.1016/j.anifeedsci.2022.115503","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Ratio between crude protein intake and metabolic body weight","increase","Crude protein intake g /kg BW0.75","10.3390/ani11113317","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 emission/milk prod","decrease","CH4 g /kg milk produced","10.5398/tasj.2023.46.1.74","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Apparent Digestibility of Gross Energy (GE AHD)","increase","GE AHD %","10.1016/j.jclepro.2021.128130","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 mL/g DM","decrease","CH4 mL /g DM substrate","10.1016/j.anifeedsci.2022.115503","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 emission/dry matter intake","decrease","CH4 g /kg DMI","10.5398/tasj.2023.46.1.74","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 reduction % - linear model","decrease","CH4 % reduction","10.1016/j.anifeedsci.2022.115503","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 reduction % - quadratic model","decrease","CH4 % reduction","10.1016/j.anifeedsci.2022.115503","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 mL/g OM - linear model","decrease","CH4 mL /g OM","10.1016/j.anifeedsci.2022.115503","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 mL/g OM - quadratic model","decrease","CH4 mL /g OM","10.1016/j.anifeedsci.2022.115503","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Digested neutral detergent fibre","increase","NDGD g /100 g NDFI","10.1111/jpn.13367","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","Methane ppm","decrease","CH4 ppm","10.17221/124/2022-cjas","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Ratio between Neutral detergent fibre intake and metabolic body weight","increase","Neutral detergent fibre intake g /kg BW0.75","10.3390/ani11113317","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Ratio between metabolizable energy intake (MEI) and BW0.75 (MEI/BW0.75)","increase","Metabolizable energy intake (MEI) kcal /  kg metabolic body weight (BW0.75)","10.3390/ani11113317","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Organic matter digestibility (OMD)","increase","Organic matter digestibility (OMD) (%)","10.1111/jpn.13367","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Digested crude protein","increase","CPD g /100 g CPI","10.1111/jpn.13367","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Apparent Ileal Digestibility of Gross Energy (GE AID)","increase","GE AID %","10.1016/j.jclepro.2021.128130","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Ratio between organic matter intake and metabolic body weight","increase","Organic matter intake g /kg BW0.75","10.3390/ani11113317","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Ratio between dry matter intake and metabolic body weight","increase","DMI g /kg BW0.75","10.3390/ani11113317","Livestock feeding techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Nitrogen excretion","Milk N excretion","increase","Milk N g /day","10.1111/jpn.13853","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","FPCM g/DMI","increase","FPCM g / DMI","10.1111/asj.13765","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Milk yield","Ratio between Milk yield and metabolic body weight","increase","Milk g /kg BW0.75","10.3390/ani11113317","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Ratio between digestible energy intake and metabolic body weight (DEI/BW0.75)","increase","Digestible energy intake (DEI) kcal /kg of metabolic body weight (BW0.75)","10.3390/ani11113317","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Milk yield","Milk g/kg metabolic body weight","decrease","Milk g /kg BW0.75","10.1111/asj.13765","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Milk yield","FPCM g/kg metabolic body weight","increase","FPCM g /kg BW0.75","10.1111/asj.13765","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Ratio between gross energy intake and metabolic body weight (GEI/BW0.75)","increase","Gross energy intake (GEI) kcal /kg of metabolic body weight (BW0.75)","10.3390/ani11113317","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Organic matter intake","increase","organic matter g DM BW0.75","10.17221/124/2022-cjas","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","Ratio between Milk yield and dry matter intake","increase","Milk g /kg DMI","10.3390/ani11113317","Livestock feeding techniques"
"Sustainable use of resources","Water use","Decrease","Water use efficiency","Irrigation water productivity (IWP, yield per unit applied irrigation water)","increase",NA,"10.1007/s00271-008-0141-0","Water-saving irrigation practices in non-flooded lands"
"Agricultural production","Animal production","Increase","Feed intake","Average daily feed intake","increase","Feed g /day","10.3389/fanim.2023.1214076","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Weight gain","Average daily gain (0-21 days)","increase","Avg. daily gain g /day","10.1016/j.animal.2022.100458","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Weight gain","Average daily gain (22-42 days)","increase","Avg. daily gain g /day","10.1016/j.animal.2022.100458","Livestock feeding techniques"
"Pollution","Nutrient excretion","Decrease","Nitrogen excretion","N excretion","decrease","N excretion g /day","10.3389/fanim.2023.1214076","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Neutral detergent fibre digestibility (NDFD)","increase","NDFD g / 100 g NDFI","10.3390/ani11113317","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","Ratio between average daily gain and dry matter intake (ADG/DMI)","increase","Avg. daily gain g /kg DMI","10.3390/ani11113317","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 emission/Body weight","decrease","CH4 g /kg body weight","10.1080/1828051X.2017.1404945","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 emission/digested organic matter","decrease","CH4 g /kg digested organic matter","10.1080/1828051X.2017.1404945","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","Gain to feed ratio","increase","Avg. daily gain kg /kg avg. daily feed intake (ADFI)","10.1080/1828051X.2017.1404945","Livestock feeding techniques"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Climate change at the midpoint level","decrease","CO2-eq kg /kg product","10.1016/j.scitotenv.2023.164094","Agroforestry practices and systems"
"Pollution","Water quality","Increase","Water quality parameters (aggregated)","Nutrients mitigation power","increase",NA,"10.1007/s13593-015-0301-6","Landscape features"
"Pollution","Water quality","Increase","Water pesticides","Pesticide mitigation power","increase",NA,"10.1007/s13593-015-0301-6","Landscape features"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Biodiversity","increase",NA,"10.5344/ajev.2019.18047","Organic farming systems"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Sediment retention","increase","kg-sediments /km2 OR kg-sediment /area /time","10.1016/j.agee.2006.03.029","Landscape features"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","Disolved P retention","increase",NA,"10.1016/j.agee.2006.03.029","Landscape features"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","Total P retention","increase",NA,"10.1016/j.agee.2006.03.029","Landscape features"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (biomass)","Carbon sequestration in biomass","increase",NA,"10.1016/j.scitotenv.2019.135345","Landscape features"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil + biomass)","Carbon sequestration in biomass and soil","increase",NA,"10.1016/j.scitotenv.2019.135345","Landscape features"
"Agricultural production","Animal production","Increase","Animal production parameters","Heat stress, stock productivity and heath, milk production and quality","Increase",NA,"10.1016/j.scitotenv.2019.135345","Landscape features"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Invertebrate, stream macroinvertebrate and vertebrate biodiversity (mainly species richness, but also abundance and composition)","increase",NA,"10.1016/j.scitotenv.2019.135345","Landscape features"
"Agricultural production","Grassland production","Increase","Net primary productivity","Pasture production and quality","increase",NA,"10.1016/j.scitotenv.2019.135345","Landscape features"
"Pollution","Water quality","Increase","Water quality parameters (aggregated)","Runoff of sediment, nutrient or faecal bacteria","decrease",NA,"10.1016/j.scitotenv.2019.135345","Landscape features"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Carbon sequestration in soil","increase","C t /ha /year","10.1016/j.scitotenv.2019.135345","Landscape features"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Soil slope erosion","decrease",NA,"10.1016/j.scitotenv.2019.135345","Landscape features"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (arthropod)","Insect abundance","increase",NA,"10.1111/j.1752-4598.2010.00098.x","Landscape features"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (arthropod)","Insects diversity","increase",NA,"10.1111/j.1752-4598.2010.00098.x","Landscape features"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Sediment removal","increase","kg-sediments /km2 OR kg-sediment /area /time","10.2134/jeq2007.0437","Landscape features"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Aves and Arthropoda abundance","increase",NA,"10.1016/j.scitotenv.2019.135839","Landscape features"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Aves and Arthropoda richness","increase",NA,"10.1016/j.scitotenv.2019.135839","Landscape features"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plantae abundance","increase",NA,"10.1016/j.scitotenv.2019.135839","Landscape features"
"Agricultural production","Crop yield","Increase","Crop yield","Yield of subsequent cereals or rapeseed","increase",NA,"10.1016/j.fcr.2015.01.012","No tillage and reduced tillage"
"Biodiversity","Biodiversity","Increase","Ecological parameters (plant)","Floristic composition (i.e., interpreted in terms of favourable condition as defined using the upland common standards monitoring (CSM) tables (Joint Nature Conservation Committee, 2004))","increase",NA,"10.1016/j.biocon.2005.06.003","Peatland management"
"Sustainable use of resources","Nutrient excretion","Decrease","Mineral excretion","Nutrients excretion (cupper, iron, manganese and zinc)","decrease",NA,"10.3390/ani12151981","Livestock feeding techniques"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant diversity","increase",NA,"10.1016/j.aquabot.2012.06.003","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant establishment","increase",NA,"10.1016/j.aquabot.2012.06.003","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Plant growth","increase",NA,"10.1016/j.aquabot.2012.06.003","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Functional parameters (reproduction)","Reproductive output","increase",NA,"10.1016/j.aquabot.2012.06.003","Wetland conservation and restoration"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Total plant biomass","increase",NA,"10.1016/j.aquabot.2012.06.003","Wetland conservation and restoration"
"Pollution","Odour emissions","Decrease","Odour emission","Odour","decrease",NA,"10.13031/aim.202001437","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Feed intake of lactating sows","Increase",NA,"10.1590/0103-8478cr20190830","Livestock housing techniques"
"Agricultural production","Animal production","Increase","Animal production parameters","Weight loss of piglets at weaning","Decrease",NA,"10.1590/0103-8478cr20190830","Livestock housing techniques"
"Agricultural production","Animal production","Increase","Weight gain","Final live weight","Increase",NA,"10.3390/ani10040565","Livestock housing techniques"
"Agricultural production","Animal production","Increase","Weight gain","Live weight","Increase",NA,"10.3390/ani10040565","Livestock housing techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Phosphorous excretion","P excretion","decrease","P excretion g /day","10.1080/14735903.2014.936189","Livestock feeding techniques"
"Pollution","Air pollutants emissions","Decrease","Ammonia emission (mineral fertiliser)","NH3 emission factor","decrease","% N applied","10.1016/j.atmosenv.2020.117506","Enhanced efficiency fertilisers"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","Soil organic carbon loss","decrease","C g /m2 /year","10.1111/1745-5871.12389","Crop residue management"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Runoff coefficient","decrease",NA,"10.1111/1745-5871.12389","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Net primary productivity","Pruning material production","increase",NA,"10.5344/ajev.2019.18047","Organic farming systems"
"Agricultural production","Crop yield","Increase","Crop yield","Vine yield","increase",NA,"10.5344/ajev.2019.18047","Organic farming systems"
"Agricultural production","Crop yield","Increase","Crop yield stability","Spatial stability","increase",NA,"10.1016/j.eja.2017.09.009","Leguminous crops"
"Agricultural production","Crop yield","Increase","Crop yield stability","Temporal stability","increase",NA,"10.1016/j.eja.2017.09.009","Leguminous crops"
"Agricultural production","Crop yield","Increase","Crop yield stability","Yield stability","increase",NA,"10.1016/j.eja.2017.09.009","Leguminous crops"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Sediment production reduction","increase","kg-sediments /km2 OR kg-sediment /area /time","10.1002/ldr.3258","Agroforestry practices and systems"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Sediment production","decrease","kg-sediments /km2 OR kg-sediment /area /time","10.1002/ldr.3258","Landscape features"
"Pollution","Water quality","Increase","Water nitrogen","Water Nitrate concentration","decrease","NO3- t /L of water","10.2134/jeq2006.0462","Agroforestry practices and systems"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (bird)","Bird species abundance","increase",NA,"10.1111/j.1523-1739.2009.01350.x","Agroforestry practices and systems"
"Pollution","Water quality","Increase","Water nitrogen","Nitrogen removal efficiency","increase",NA,"10.1007/s13280-020-01345-5","Landscape features"
"Pollution","Water quality","Increase","Water phosphorous","Total phosforous removal efficiency","increase",NA,"10.1007/s13280-020-01345-5","Landscape features"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Efficacy sediment mass retention","increase","kg-sediments /km2 OR kg-sediment /area /time","10.2134/jeq2008.0496","Landscape features"
"Pollution","Water quality","Increase","Water nitrogen","Efficacy N mass retention","increase",NA,"10.2134/jeq2008.0496","Landscape features"
"Pollution","Water quality","Increase","Water phosphorous","Efficacy P mass retention","increase",NA,"10.2134/jeq2008.0496","Landscape features"
"Pollution","Water quality","Increase","Water pesticides","Efficacy pesticide mass retention","increase",NA,"10.2134/jeq2008.0496","Landscape features"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","CH4 emissions per ha","decrease",NA,"10.1108/00070700910992925","Organic farming systems"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","N2O emissions per ha","decrease",NA,"10.1108/00070700910992925","Organic farming systems"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","Nitrate leaching per unit of area","decrease","N kg /ha","10.1108/00070700910992925","Organic farming systems"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching (product based)","Nitrate leaching per unit of product","decrease","N kg /kg of product","10.1108/00070700910992925","Organic farming systems"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","P losses","decrease","P kg /ha","10.1108/00070700910992925","Organic farming systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Organic matter content in soil","increase","%","10.1108/00070700910992925","Organic farming systems"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Aggregated GHG emissions per ha","decrease",NA,"10.1108/00070700910992925","Organic farming systems"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Aggregated GHG emissions per kg product","decrease",NA,"10.1108/00070700910992925","Organic farming systems"
"Sustainable use of resources","Land use (LCA)","Decrease","Land use (product based)","Agricultural land use efficiency per unit of product","decrease",NA,"10.1108/00070700910992925","Organic farming systems"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 annual emissions per animal unit","decrease","CH4 kg / year /animal unit (1 AU [animal unit] being equal to one beef animal weighing 500 kg of live weight)","10.1021/acs.est.8b02475","Livestock feeding techniques"
"Agricultural production","Crop yield","Increase","Crop yield (arable crops)","maize grain yield","increase","t /ha","10.3389/fsufs.2023.1167686","Agroforestry practices and systems"
"Agricultural production","Grassland production","Increase","forage yield","Fodder biomass","increase","ton /ha","10.3389/fsufs.2021.606631","Agroforestry practices and systems"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield of the final year of experiment (yieldf)","increase",NA,"10.1007/s10705-017-9903-5","Crop residue management"
"Agricultural production","Crop yield","Increase","Crop yield","Mean yield over the whole duration of experiment (yieldm)","increase",NA,"10.1007/s10705-017-9903-5","Crop residue management"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield over the whole duration of experiment (yieldm)","increase",NA,"10.1007/s10705-017-9903-5","Organic fertilisation"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Olsen phosphorus","increase","t /kg","10.1007/s10705-017-9903-5","Organic fertilisation"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 emissions total","decrease","CH4 % change available only","10.2134/jeq2017.05.0199","Livestock feeding techniques"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","Nitrates leaching","Decrease",NA,"10.2760/373351","Organic fertilisation"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Mean species abundance","increase",NA,"10.1007/s11273-014-9360-8","Wetland conservation and restoration"
"Soil health","Soil water retention","Increase","Soil water","Water regulation (soil moisture content and soil water infiltration rates)","Increase",NA,"10.1007/s13593-019-0589-8","Leguminous crops"
"Biodiversity","Pests and diseases","Decrease","crop damage or disease","Disease incidence (in probability scale)","decrease","probability scale","10.3390/agronomy10040560","Pesticides reduction strategies"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Total soil P content","increase",NA,"10.1111/j.1365-2486.2012.02653.x","Grassland conservation and restoration"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural enemies abundance","increase",NA,"10.1016/j.baae.2015.08.006","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","weed (non-parasitic)","Non-parasitic weeds abundance","decrease",NA,"10.1016/j.baae.2015.08.006","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","weed (parasitic)","parasitic weeds abundance","decrease",NA,"10.1016/j.baae.2015.08.006","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","weed","Weeds abundance","decrease",NA,"10.1016/j.baae.2015.08.006","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","pest","Arthropodes pests abundance","decrease",NA,"10.1016/j.agsy.2019.102676","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (herbivore)","Herbivore pests abundance","decrease",NA,"10.1016/j.agsy.2019.102676","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural enemies abundance or activity density","increase",NA,"10.1016/j.agsy.2019.102676","Agroforestry practices and systems"
"Agricultural production","Crop yield","Increase","Crop yield","Crop productivity","increase",NA,"10.1002/ldr.3424","Landscape features"
"Pollution","Water quality","Increase","Water nitrogen","Nitrate removal efficiency from drainage water","increase",NA,"10.1007/s13280-020-01345-5","Wetland conservation and restoration"
"Pollution","Water quality","Increase","Water phosphorous","Phosphorus removal efficiency from drainage water","increase",NA,"10.1007/s13280-020-01345-5","Wetland conservation and restoration"
"Pollution","Acidification (LCA)","Decrease","Acidification potential","Acidification potential per unit of product (LCA approach)","decrease",NA,"10.1088/1748-9326/aa6cd5","Organic farming systems"
"Sustainable use of resources","Land use (LCA)","Decrease","Land use (product based)","Agricultural land use per unit of product","decrease",NA,"10.1088/1748-9326/aa6cd5","Organic farming systems"
"Sustainable use of resources","Energy use (LCA)","Decrease","Energy use","Energy use per unit of product","decrease",NA,"10.1088/1748-9326/aa6cd5","Organic farming systems"
"Pollution","Eutrophication (LCA)","Decrease","Eutrophication potential","Eutrophication potential per unit of product","decrease",NA,"10.1088/1748-9326/aa6cd5","Organic farming systems"
"GHG emissions","Global warming potential (LCA)","Decrease","Global warming potential","Global warming potential product based,  'cradle-to-farm gate' LCA","decrease",NA,"10.1088/1748-9326/aa6cd5","Organic farming systems"
"Biodiversity","Pests and diseases","Decrease","weed","Weed incidence/abundance","decrease",NA,"10.1007/s13593-016-0354-1","No tillage and reduced tillage"
"Soil health","Soil physico-chemical quality","Increase","Soil salinity","Salinity","decrease",NA,"10.3390/agronomy9060295","Mulching"
"Agricultural production","Cropping system productivity","Increase","Land equivalent ratio","Land equivalent ratio (LER)","increase",NA,"10.1016/j.agsy.2019.102761","Leguminous crops"
"Agricultural production","Cropping system productivity","Increase","Land equivalent ratio","Partial Land Equivalent Ratio (pLER)","increase",NA,"10.1016/j.agsy.2019.102761","Leguminous crops"
"Agricultural production","Cropping system productivity","Increase","Land equivalent ratio","Land equivalent ratio","Increase",NA,"10.1016/j.fcr.2021.108208","Leguminous crops"
"Biodiversity","Pests and diseases","Decrease","pest","Pest and disease abundance","decrease",NA,"10.1080/14735903.2016.1242332","Pesticides reduction strategies"
"Pollution","Pesticide use","Decrease","Pesticide use","Pesticide use","decrease",NA,"10.2134/agronj2015.0512","Pesticides reduction strategies"
"Agricultural production","Crop yield","Increase","Crop yield stability","Interannual yield variance","decrease",NA,"10.1007/s13593-017-0455-5","Organic farming systems"
"Agricultural production","Crop yield","Increase","Crop yield","Mean crop yield","increase","t /ha","10.1007/s13593-017-0455-5","Organic farming systems"
"Sustainable use of resources","Plant nutrient uptake","Increase","Crop phosphorous uptake","Plant P concentration","increase",NA,"10.1111/gcb.13125","Wetland management"
"Soil health","Soil biological quality","Increase","Functional parameters (enzymatic activity)","ACP and ALP (phosphatase) activities","increase","phosphatase","10.1016/j.soilbio.2019.107632","Organic fertilisation"
"Pollution","Water quality","Increase","Water nitrogen","N removal","increase",NA,"10.2134/jeq2006.0462","Landscape features"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Earthworm abundance","increase",NA,"10.3220/LBF1512114926000","No tillage and reduced tillage"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Earthworm biomass","increase",NA,"10.3220/LBF1512114926000","No tillage and reduced tillage"
"Agricultural production","Grassland production","Increase","forage yield","Forage dry matter harvest","Increase",NA,"10.1007/s13593-020-00626-3","Leguminous crops"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil total N stock","increase",NA,"10.5586/aa.1662","Cover and catch crops"
"Soil health","Soil nutrients","Increase","Soil potassium","Soil potassium","increase",NA,"10.5586/aa.1662","Organic fertilisation"
"Agricultural production","Crop yield","Increase","Crop yield","Relative yield (RY, it compares the productivity of plants grown as monocultures and those grown in combination with others)","increase",NA,"10.1002/eap.1629","Intercropping"
"Agricultural production","Crop yield","Increase","Crop yield stability","Yield stability (it compares the average monoculture coefficient of variation to that of the mixtures) over space","increase",NA,"10.1002/eap.1629","Intercropping"
"Agricultural production","Crop yield","Increase","Crop yield stability","Yield stability (it compares the average monoculture coefficient of variation to that of the mixtures) over time","increase",NA,"10.1002/eap.1629","Intercropping"
"Agricultural production","Cropping system productivity","Increase","Net primary productivity","Land equivalent ratio of aboveground biomass (LERB)","increase",NA,"10.1007/s11104-020-04768-x","Intercropping"
"Agricultural production","Cropping system productivity","Increase","Land equivalent ratio","Land equivalent ratio of cereal yield (LERY)","increase",NA,"10.1007/s11104-020-04768-x","Intercropping"
"Sustainable use of resources","Plant nutrient uptake","Increase","Land equivalent ratio for phosphorous uptake","P use efficiency (Land equivalent ratio for P uptake, LERP; Net effect  for P uptake, NEP)","increase","Land equivalent ratio for P uptake (LERP); Net effect  for P uptake (NEP)","10.1007/s11104-020-04768-x","Intercropping"
"Agricultural production","Cropping system productivity","Increase","Net primary productivity","Land equivalent ratio for biomass","increase",NA,"10.1007/s11104-020-04768-x","Leguminous crops"
"Agricultural production","Cropping system productivity","Increase","Land equivalent ratio","Land equivalent ratio for crop yield","increase",NA,"10.1007/s11104-020-04768-x","Leguminous crops"
"Sustainable use of resources","Plant nutrient uptake","Increase","Land equivalent ratio for phosphorous uptake","Land Equivalent Ratio for P uptake (LERP)","increase","Land equivalent ratio for P uptake (LERP)","10.1007/s11104-020-04768-x","Leguminous crops"
"Sustainable use of resources","Plant nutrient uptake","Increase","Nitrogen use efficiency","Nitrogen response efficiency (NRE, ANPP response per unit N addition)","increase","NRE, ANPP response per unit N addition","10.1088/1748-9326/11/2/024012","Grassland management"
"Biodiversity","Pests and diseases","Decrease","weed","Weed abundance (density or biomass)","decrease",NA,"10.3390/agronomy10101618","Mulching"
"Agricultural production","Crop yield","Increase","Crop yield","Production potential (biomass accumulation, crop yield, etc.)","increase",NA,"10.1016/j.earscirev.2016.06.010","Landscape features"
"Soil health","Soil nutrients","Increase","Soil nutrients","Soil nutrients (e.g., total nitrogen (N), total potassium (K), total phosphorus (P), available P, available K, ammonium, and organic matter)","increase",NA,"10.1016/j.earscirev.2016.06.010","Landscape features"
"Soil health","Soil water retention","Increase","Soil water","Soil water recharge","increase",NA,"10.1016/j.earscirev.2016.06.010","Landscape features"
