combo_clean1,CT_crop_FAO_Food_Group_clean,diversification_spatial_temporal_theme,biomass_management_practice,nutrient_management_practice,soil_management_theme,water_management_practice,impact,agr_zone,n,neg,pos
Teff + Lupin,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,"Tropics, highland; humid, with soil/terrain limitations",24,0.6666666666666666,0.3333333333333333
Teff + No leguminous tree,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,Land with severe soil/terrain limitations,8,0.5,0.5
Teff + No leguminous tree,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",8,0.25,0.75
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Income,Land with severe soil/terrain limitations,3,0,1
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Income,"Tropics, highland; semi-arid, no soil/terrain limitations",3,0,1
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Income,"Tropics, highland; sub-humid, with soil/terrain limitations",6,0,1
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,Land with severe soil/terrain limitations,6,0,1
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,"Tropics, highland; semi-arid, no soil/terrain limitations",6,0,1
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",12,0,1
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Zero Tillage_vs_T: Zero Tillage,NA,Product Yield,Land with severe soil/terrain limitations,12,0.75,0.25
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Zero Tillage_vs_T: Zero Tillage,NA,Soil Quality,Land with severe soil/terrain limitations,12,0.75,0.25
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Product Yield,Land with severe soil/terrain limitations,18,0.16666666666666666,0.8333333333333334
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Soil Quality,Land with severe soil/terrain limitations,18,0.05555555555555555,0.9444444444444444
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,NA,C: Zero Tillage_vs_T: Reduced Tillage,NA,Product Yield,Land with severe soil/terrain limitations,18,0.2777777777777778,0.7222222222222222
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,NA,C: Zero Tillage_vs_T: Reduced Tillage,NA,Soil Quality,Land with severe soil/terrain limitations,18,0.16666666666666666,0.8333333333333334
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Tropics, highland; humid, with soil/terrain limitations",6,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,"Tropics, highland; humid, with soil/terrain limitations",12,0.16666666666666666,0.8333333333333334
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,"Tropics, highland; humid, with soil/terrain limitations",6,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Dominantly very steep terrain,1,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,13,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; humid, with soil/terrain limitations",6,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",1,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",51,0.0392156862745098,0.9607843137254902
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; semi-arid, no soil/terrain limitations",6,0.16666666666666666,0.8333333333333334
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,Land with severe soil/terrain limitations,16,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Costs,"Tropics, highland; humid, with soil/terrain limitations",3,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Income,"Tropics, highland; humid, with soil/terrain limitations",6,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Non-Product Yield,"Tropics, highland; humid, with soil/terrain limitations",3,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Product Yield,"Tropics, highland; humid, with soil/terrain limitations",3,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Costs,"Tropics, highland; humid, with soil/terrain limitations",1,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Income,"Tropics, highland; humid, with soil/terrain limitations",2,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Non-Product Yield,"Tropics, highland; humid, with soil/terrain limitations",1,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,6,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,"Tropics, highland; humid, with soil/terrain limitations",1,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Soil Quality,Land with severe soil/terrain limitations,8,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,6,0,1
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,Land with severe soil/terrain limitations,8,0,1
